floy_id,species,mussel_id,X4.28.2017,X4.29.2017,X4.30.2017,X8.1.2017,X8.2.2017,X8.3.2017,X11.10.2017,X11.11.2017,X11.12.2017,X4.20.2018,X4.21.2018,X4.22.2018,X8.10.2018,X8.11.2018,X8.12.2018
A,AMPL,A-AMPL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A,QUHO,A-QUHO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,AMPL,B-AMPL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C,AMPL,C-AMPL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
E,AMPL,E-AMPL,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
F,AMPL,F-AMPL,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
G,AMPL,G-AMPL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
G018G018,QUHO,G018G018-QUHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
G035G035,QUHO,G035G035-QUHO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
G045G045,AMPL,G045G045-AMPL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
G054G054,AMPL,G054G054-AMPL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
G055G055,AMPL,G055G055-AMPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
G064G064,QUHO,G064G064-QUHO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
G094G094,QUHO,G094G094-QUHO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
H,QUHO,H-QUHO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
I,QUHO,I-QUHO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
J,QUHO,J-QUHO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
L,QUHO,L-QUHO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
M,AMPL,M-AMPL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
M,QUHO,M-QUHO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
N,AMPL,N-AMPL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
N,QUHO,N-QUHO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
O000O001,AMPL,O000O001-AMPL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O002O003,AMPL,O002O003-AMPL,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
O004,QUHO,O004-QUHO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O010,QUHO,O010-QUHO,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
O011O022,AMPL,O011O022-AMPL,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
O012O014,AMPL,O012O014-AMPL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O013,QUHO,O013-QUHO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
O023O024,AMPL,O023O024-AMPL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
P,AMPL,P-AMPL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Q,AMPL,Q-AMPL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R,AMPL,R-AMPL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S,AMPL,S-AMPL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
