floy_id,pit_id,species,mussel_id
A,3DD.003C00D69C,QUHO,A-QUHO
A,,AMPL,A-AMPL
B,,AMPL,B-AMPL
C,,AMPL,C-AMPL
E,,AMPL,E-AMPL
F,,AMPL,F-AMPL
G,,AMPL,G-AMPL
G018G018,3D6.1D59584F00,QUHO,G018G018-QUHO
G035G035,3D6.1D59584EB4,QUHO,G035G035-QUHO
G045G045,,AMPL,G045G045-AMPL
G054G054,,AMPL,G054G054-AMPL
G055G055,,AMPL,G055G055-AMPL
G064G064,3D6.1D59584F0C,QUHO,G064G064-QUHO
G074G074,3D6.1D59584EF3,TOTE,G074G074-TOTE
G084G084,3D6.1D59584F04,TOTE,G084G084-TOTE
G094G094,3D6.1D59584EE9,QUHO,G094G094-QUHO
H,3D6.00188BD5E1,QUHO,H-QUHO
I,3D6.00188BD603,QUHO,I-QUHO
J,3D6.00188BD604,QUHO,J-QUHO
L,3D6.00188BD611,QUHO,L-QUHO
M,3D6.00188BD61E,QUHO,M-QUHO
M,,AMPL,M-AMPL
N,3D6.00188BD62F,QUHO,N-QUHO
N,,AMPL,N-AMPL
O000O001,,AMPL,O000O001-AMPL
O002O003,,AMPL,O002O003-AMPL
O004,3DD.003C07F863,QUHO,O004-QUHO
O010,3DD.003C07F838,QUHO,O010-QUHO
O011,,AMPL,O011-AMPL
O011,,AMPL,O011-AMPL
O011O022,,AMPL,O011O022-AMPL
O012O014,,AMPL,O012O014-AMPL
O013,3DD.003C07F840,QUHO,O013-QUHO
O023O024,,AMPL,O023O024-AMPL
O023O024,,AMPL,O023O024-AMPL
O023O024,,AMPL,O023O024-AMPL
P,,AMPL,P-AMPL
Q,,AMPL,Q-AMPL
R,,AMPL,R-AMPL
S,,AMPL,S-AMPL
T,,AMPL,T-AMPL
U,,AMPL,U-AMPL
V,,AMPL,V-AMPL
W,,AMPL,W-AMPL
W032,,AMPL,W032-AMPL
W090W094,,AMPL,W090W094-AMPL
W091W093,,AMPL,W091W093-AMPL
W092W095,,AMPL,W092W095-AMPL
W0966W098,,AMPL,W0966W098-AMPL
W096W098,,AMPL,W096W098-AMPL
W099W101,,AMPL,W099W101-AMPL
W102W105,,AMPL,W102W105-AMPL
W108W110,,AMPL,W108W110-AMPL
W109W111,,AMPL,W109W111-AMPL
W113W115,,AMPL,W113W115-AMPL
W116W119,,AMPL,W116W119-AMPL
W117W699,,AMPL,W117W699-AMPL
W120,,AMPL,W120-AMPL
W122W124,,AMPL,W122W124-AMPL
W123W126,,AMPL,W123W126-AMPL
W125W127,,AMPL,W125W127-AMPL
W128W130,,AMPL,W128W130-AMPL
W132W134,,AMPL,W132W134-AMPL
W133W135,,AMPL,W133W135-AMPL
W136W137,,AMPL,W136W137-AMPL
W138W139,,AMPL,W138W139-AMPL
W139,3D6.1D59306416,QUPE,W139-QUPE
W140W143,,AMPL,W140W143-AMPL
W141W145,,AMPL,W141W145-AMPL
W144,,AMPL,W144-AMPL
W146,,AMPL,W146-AMPL
W149,3D6.1D5930642F,QUPE,W149-QUPE
W149W156W160,,AMPL,W149W156W160-AMPL
W153W155,,AMPL,W153W155-AMPL
W149W156W160,,AMPL,W149W156W160-AMPL
W157W158,,AMPL,W157W158-AMPL
W159,3D6.1D59306440,QUPE,W159-QUPE
W162W163,,AMPL,W162W163-AMPL
W165,,AMPL,W165-AMPL
W167W169,,AMPL,W167W169-AMPL
W169,3D6.1D5930641E,QUHO,W169-QUHO
W170W173,,AMPL,W170W173-AMPL
W171,3D6.1D5930640E,QUPE,W171-QUPE
W171W172,,AMPL,W171W172-AMPL
W172,3D6.1D59306437,QUPE,W172-QUPE
W173,3D6.1D59306431,QUPE,W173-QUPE
W174,3D6.1D5930641F,QUPE,W174-QUPE
W174W178,,AMPL,W174W178-AMPL
W175,3D6.1D59306411,QUPE,W175-QUPE
W175W176,,AMPL,W175W176-AMPL
W177,3D6.1D593063FE,QUPE,W177-QUPE
W177,3DD.003C023111,QUPE,W177-QUPE
W177W179,,AMPL,W177W179-AMPL
W178,3D6.1D59306414,QUPE,W178-QUPE
W179,3D6.1D593063E7,QUHO,W179-QUHO
W180W182,,AMPL,W180W182-AMPL
W181W185,,AMPL,W181W185-AMPL
W184W186,,AMPL,W184W186-AMPL
W187W188,,AMPL,W187W188-AMPL
W189,3D6.1D59306413,QUHO,W189-QUHO
W189W191,,AMPL,W189W191-AMPL
W193W194,,AMPL,W193W194-AMPL
W195W198,,AMPL,W195W198-AMPL
W196W197,,AMPL,W196W197-AMPL
W199W201,,AMPL,W199W201-AMPL
W200,3D6.1D5930643E,QUPE,W200-QUPE
W200W648,,AMPL,W200W648-AMPL
W201,3D6.1D59306412,QUHO,W201-QUHO
W202,3D6.1D5930643A,QUHO,W202-QUHO
W203,3D6.1D59306405,QUHO,W203-QUHO
W203W204,,AMPL,W203W204-AMPL
W204,3D6.1D5930640D,QUHO,W204-QUHO
W205,3D6.1D59306426,QUHO,W205-QUHO
W205W206,,AMPL,W205W206-AMPL
W206,3D6.1D5930642A,QUPE,W206-QUPE
W207,3D6.1D59306436,QUHO,W207-QUHO
W207W209,,AMPL,W207W209-AMPL
W208W211,,AMPL,W208W211-AMPL
W209,3D6.1D593063FB,TRMA,W209-TRMA
W210,3D6.1D5930642B,QUHO,W210-QUHO
W210W212,,AMPL,W210W212-AMPL
W211,3D6.1D59306439,QUHO,W211-QUHO
W212,3D6.1D59306429,QUHO,W212-QUHO
W213,3D6.1D59306421,QUHO,W213-QUHO
W213,3D6.1D59306420,QUHO,W213-QUHO
W213W646,,AMPL,W213W646-AMPL
W214,3D6.1D593063F1,QUHO,W214-QUHO
W214W216,,AMPL,W214W216-AMPL
W215,3D6.1D593063EA,QUHO,W215-QUHO
W215W218,,AMPL,W215W218-AMPL
W216,3D6.1D593063E9,QUHO,W216-QUHO
W217,3D6.1D593063DE,QUHO,W217-QUHO
W219,3D6.1D593063F8,QUHO,W219-QUHO
W219W698,,AMPL,W219W698-AMPL
W220,3D6.1D593063F6,QUHO,W220-QUHO
W221,3D6.1D59306434,QUHO,W221-QUHO
W222,3D6.1D593063EB,QUHO,W222-QUHO
W223,3D6.1D593063F2,QUHO,W223-QUHO
W223W225,,AMPL,W223W225-AMPL
W224,3D6.1D5930641B,QUHO,W224-QUHO
W224W227,,AMPL,W224W227-AMPL
W225,3D6.1D59306428,QUHO,W225-QUHO
W226,3D6.00188BD603,QUHO,W226-QUHO
W226W228,,AMPL,W226W228-AMPL
W227,3D6.1D593063DD,QUHO,W227-QUHO
W226W228,,AMPL,W226W228-AMPL
W229W911,,AMPL,W229W911-AMPL
W229W911,,AMPL,W229W911-AMPL
W230,3D6.1D593063E0,QUPE,W230-QUPE
W230W232,,AMPL,W230W232-AMPL
W231,3D6.1D59306438,QUHO,W231-QUHO
