floy_id,pit_id,species
A,3DD.003C00D69C,QUHO
H,3D6.00188BD5E1,QUHO
I,3D6.00188BD603,QUHO
J,3D6.00188BD604,QUHO
L,3D6.00188BD611,QUHO
M,3D6.00188BD61E,QUHO
N,3D6.00188BD62F,QUHO
O004,3DD.003C07F863,QUHO
O010,3DD.003C07F838,QUHO
O013,3DD.003C07F840,QUHO
O011,,AMPL
O023,,AMPL
W139,3D6.1D59306416,QUPE
W149,3D6.1D5930642F,QUPE
W159,3D6.1D59306440,QUPE
W169,3D6.1D5930641E,QUHO
W171,3D6.1D5930640E,QUPE
W172,3D6.1D59306437,QUPE
W173,3D6.1D59306431,QUPE
W174,3D6.1D5930641F,QUPE
W175,3D6.1D59306411,QUPE
W177,3D6.1D593063FE,QUPE
W177,3DD.003C023111,QUPE
W178,3D6.1D59306414,QUPE
W179,3D6.1D593063E7,QUHO
W189,3D6.1D59306413,QUHO
W200,3D6.1D5930643E,QUPE
W201,3D6.1D59306412,QUHO
W202,3D6.1D5930643A,QUHO
W203,3D6.1D59306405,QUHO
W204,3D6.1D5930640D,QUHO
W205,3D6.1D59306426,QUHO
W206,3D6.1D5930642A,QUPE
W207,3D6.1D59306436,QUHO
W209,3D6.1D593063FB,TRMA
W210,3D6.1D5930642B,QUHO
W211,3D6.1D59306439,QUHO
W212,3D6.1D59306429,QUHO
W213,3D6.1D59306421,QUHO
W213,3D6.1D59306420,QUHO
W214,3D6.1D593063F1,QUHO
W215,3D6.1D593063EA,QUHO
W216,3D6.1D593063E9,QUHO
W217,3D6.1D593063DE,QUHO
W219,3D6.1D593063F8,QUHO
W220,3D6.1D593063F6,QUHO
W221,3D6.1D59306434,QUHO
W222,3D6.1D593063EB,QUHO
W223,3D6.1D593063F2,QUHO
W224,3D6.1D5930641B,QUHO
W225,3D6.1D59306428,QUHO
W226,3D6.00188BD603,QUHO
W227,3D6.1D593063DD,QUHO
W230,3D6.1D593063E0,QUPE
W231,3D6.1D59306438,QUHO
W236,3D6.1D59306409,QUHO
W301,3D6.1D5930641D,QUPE
W301,3DD.003C0230F9,QUPE
W307,3D6.1D5930640F,QUHO
W308,3D6.1D593063E8,QUHO
W309,3D6.00188BD60B,QUHO
W317,3D6.1D593063E6,QUHO
W318,3D6.1D593063E4,QUPE
W327,3D6.1D593063FF,QUPE
W328,3D6.1D5930642D,QUHO
W336,3D6.1D593063FD,QUPE
W337,3D6.1D5930643B,QUHO
W338,3D6.1D59306422,QUHO
W346,3D6.1D5930641A,QUHO
W347,3D6.1D59306425,QUPE
W348,3D6.1D59306415,QUHO
W354,3D6.1D5930643D,QUHO
W356,3D6.1D593063EE,QUHO
W357,3D6.1D5930641C,QUHO
W358,3D6.1D5930643F,QUHO
W366,3D6.1D59306435,QUPE
W367,3D6.1D5930640C,QUHO
W368,3D6.1D59306424,QUHO
W376,3D6.1D59306423,QUPE
W377,3D6.1D59306427,QUPE
W378,3D6.1D59306401,QUPE
W386,3D6.1D593063F3,QUHO
W387,3D6.1D59306406,QUHO
W396,3D6.1D59306403,QUPE
W397,3D6.1D593063EC,QUHO
W398,3D6.1D593063E3,QUHO
W411,3DD.003C023112,QUHO
W412,3DD.003C02310D,QUHO
W413,3DD.003C0230FD,QUHO
W418,3DD.003C0230D0,QUHO
W419,3DD.003C026433,QUHO
W420,3DD.003C026BF5,QUPE
W421,3DD.003C023109,QUPE
W422,3DD.003C023115,QUHO
W423,3DD.003C0230FA,QUHO
W427,3DD.003C07F847,QUPE
W430,3DD.003C023108,QUHO
W431,3DD.003C02311B,QUPE
W432,3DD.003C0230DF,QUPE
W433,3DD.003C023118,QUHO
W438,3DD.003C07F870,QUHO
W440,3DD.003C023107,QUPE
W441,3DD.003C023114,QUHO
W442,3DD.003C02310B,QUHO
W451,3DD.003C023103,QUHO
W452,3DD.003C0230F6,QUPE
W456,3DD.003C07F83B,QUHO
W458,,AMPL
W460,3DD.003C02310E,QUPE
W461,3DD.003C02311A,QUHO
W462,3DD.003C026417,QUHO
W470,3DD.003C02310C,QUHO
